epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,517.222,2.31863,1.35235,1.96137,0.86557,0.84854,0.92921,0.62508,2.21862,1.35705,1.98407,0.000990365,0.000990365,0.000990365
43,529.259,2.25154,1.31476,1.92565,0.77154,0.88549,0.90296,0.60049,2.31096,1.40681,1.99738,0.000973861,0.000973861,0.000973861
44,541.302,2.29598,1.33798,1.96491,0.79467,0.88821,0.91822,0.62685,2.17072,1.41814,1.98987,0.000957358,0.000957358,0.000957358
45,553.25,2.26985,1.35597,1.94915,0.81678,0.86201,0.91368,0.59946,2.25707,1.41521,2.00339,0.000940855,0.000940855,0.000940855
46,565.195,2.19368,1.26359,1.91295,0.82443,0.82022,0.91164,0.62398,2.17307,1.30726,1.95664,0.000924352,0.000924352,0.000924352
47,577.099,2.25506,1.306,1.92658,0.86244,0.85735,0.92791,0.61972,2.19663,1.4625,1.97866,0.000907848,0.000907848,0.000907848
48,589.1,2.29687,1.32299,1.92102,0.86356,0.84415,0.92249,0.62396,2.22271,1.35966,1.97246,0.000891345,0.000891345,0.000891345
49,600.897,2.24646,1.28828,1.91996,0.79139,0.88088,0.91478,0.61996,2.14326,1.40856,1.96114,0.000874842,0.000874842,0.000874842
50,612.84,2.20006,1.28489,1.91911,0.80167,0.88286,0.9274,0.60501,2.2802,1.3008,2.00562,0.000858338,0.000858338,0.000858338
51,624.716,2.25915,1.29318,1.92899,0.87352,0.84339,0.92356,0.63586,2.15433,1.425,1.96733,0.000841835,0.000841835,0.000841835
52,636.616,2.24767,1.26184,1.90659,0.84948,0.87531,0.93252,0.63653,2.19536,1.30476,1.96585,0.000825332,0.000825332,0.000825332
53,648.519,2.21321,1.21792,1.91731,0.86426,0.89484,0.94388,0.6446,2.17982,1.35607,1.96471,0.000808828,0.000808828,0.000808828
54,660.346,2.24618,1.24942,1.91794,0.90824,0.84132,0.94832,0.64546,2.17598,1.25935,1.9519,0.000792325,0.000792325,0.000792325
55,672.336,2.19497,1.21185,1.91734,0.87452,0.88703,0.95169,0.65062,2.12856,1.29556,1.94476,0.000775822,0.000775822,0.000775822
56,684.256,2.20687,1.23085,1.91072,0.86768,0.8843,0.94418,0.65703,2.18477,1.45952,1.96503,0.000759318,0.000759318,0.000759318
57,696.191,2.17444,1.24324,1.88468,0.88422,0.85611,0.93227,0.65266,2.18961,1.35406,1.96292,0.000742815,0.000742815,0.000742815
58,708.142,2.18244,1.22232,1.93403,0.87794,0.80074,0.91713,0.65253,2.20977,1.53699,1.9863,0.000726312,0.000726312,0.000726312
59,720.089,2.17021,1.23252,1.90316,0.86633,0.81649,0.92655,0.6521,2.20998,1.44056,1.97714,0.000709809,0.000709809,0.000709809
60,732.125,2.12928,1.21746,1.90074,0.87356,0.88584,0.95036,0.67446,2.14706,1.2198,1.94463,0.000693305,0.000693305,0.000693305
61,744.185,2.1621,1.1765,1.87864,0.8466,0.89997,0.93956,0.64778,2.14166,1.25639,1.94716,0.000676802,0.000676802,0.000676802
