epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,654.959,2.07922,1.31519,1.92943,0.78623,0.86757,0.9218,0.64895,2.09375,1.59442,1.99054,0.000494885,0.000494885,0.000494885
43,670.94,2.01267,1.29523,1.90909,0.82355,0.82318,0.88612,0.63219,2.07966,1.60922,2.00005,0.000486639,0.000486639,0.000486639
44,686.569,2.04136,1.31899,1.92859,0.79389,0.85179,0.91534,0.63578,2.03901,1.47836,1.96364,0.000478392,0.000478392,0.000478392
45,702.632,2.02466,1.31564,1.92827,0.76131,0.93848,0.91774,0.65806,2.1271,1.49149,2.00373,0.000470145,0.000470145,0.000470145
46,718.61,1.97138,1.25352,1.8894,0.78499,0.85804,0.9053,0.6339,2.03758,1.48787,1.95786,0.000461898,0.000461898,0.000461898
47,734.402,2.0469,1.30846,1.91186,0.72407,0.88207,0.89655,0.63184,2.06069,1.49279,1.96784,0.000453652,0.000453652,0.000453652
48,750.043,2.02623,1.30283,1.8925,0.80915,0.81395,0.89267,0.62601,2.0553,1.47946,1.96116,0.000445405,0.000445405,0.000445405
49,765.773,2.0333,1.2781,1.9063,0.8048,0.86986,0.89731,0.6441,2.02612,1.51744,1.94509,0.000437158,0.000437158,0.000437158
50,781.871,1.95981,1.27262,1.89771,0.78159,0.88202,0.92801,0.64175,1.99828,1.53658,1.94541,0.000428912,0.000428912,0.000428912
51,797.719,2.00533,1.27697,1.89512,0.86994,0.8128,0.93042,0.64471,1.95426,1.63943,1.94718,0.000420665,0.000420665,0.000420665
52,813.826,1.99942,1.26421,1.8955,0.75688,0.8866,0.92627,0.64369,2.00854,1.45446,1.94958,0.000412418,0.000412418,0.000412418
53,829.655,1.97354,1.19882,1.89311,0.84175,0.85291,0.93366,0.64635,2.02309,1.41926,1.9641,0.000404172,0.000404172,0.000404172
54,845.246,1.9852,1.21978,1.89263,0.85113,0.88401,0.95334,0.67043,2.07884,1.32817,1.98748,0.000395925,0.000395925,0.000395925
55,860.838,1.96248,1.19909,1.88642,0.82255,0.82992,0.91094,0.66337,2.00175,1.39463,1.93494,0.000387678,0.000387678,0.000387678
56,876.94,1.94602,1.1894,1.9072,0.84257,0.80086,0.89997,0.65347,2.02903,1.48896,1.97169,0.000379431,0.000379431,0.000379431
57,892.768,1.92866,1.18946,1.86585,0.87022,0.87657,0.95162,0.68337,2.05886,1.39549,1.98473,0.000371185,0.000371185,0.000371185
58,908.666,1.90213,1.16124,1.90661,0.89159,0.85564,0.94512,0.68927,2.04007,1.37396,1.97359,0.000362938,0.000362938,0.000362938
59,924.534,1.93185,1.17719,1.88097,0.83133,0.86989,0.9445,0.6693,2.04862,1.39822,1.94995,0.000354691,0.000354691,0.000354691
60,940.461,1.92674,1.18726,1.88411,0.8634,0.82176,0.92412,0.67113,2.02851,1.36565,1.95619,0.000346445,0.000346445,0.000346445
61,956.238,1.87986,1.13287,1.8575,0.85651,0.81475,0.91902,0.6784,2.03215,1.40263,1.95327,0.000338198,0.000338198,0.000338198
62,971.971,1.85261,1.11551,1.86078,0.90261,0.79638,0.90843,0.67083,1.99026,1.36599,1.93459,0.000329951,0.000329951,0.000329951
63,987.694,1.85814,1.09919,1.85885,0.81213,0.89125,0.92469,0.67668,2.00169,1.30739,1.93381,0.000321705,0.000321705,0.000321705
64,1003.65,1.9033,1.1219,1.88307,0.82617,0.85016,0.94486,0.67138,2.02948,1.27992,1.96227,0.000313458,0.000313458,0.000313458
65,1019.2,1.83704,1.10363,1.85884,0.80542,0.89765,0.93523,0.68677,2.00073,1.28054,1.95143,0.000305211,0.000305211,0.000305211
66,1034.94,1.89106,1.12676,1.85332,0.89011,0.84923,0.95111,0.68881,1.98135,1.24961,1.94243,0.000296964,0.000296964,0.000296964
67,1050.81,1.84119,1.09103,1.85082,0.87753,0.87168,0.92709,0.68122,1.97204,1.4404,1.94256,0.000288718,0.000288718,0.000288718
68,1066.2,1.84877,1.11561,1.85024,0.79838,0.86973,0.94072,0.67775,2.00489,1.43895,1.94281,0.000280471,0.000280471,0.000280471
69,1081.8,1.81792,1.06315,1.85315,0.8786,0.86384,0.95126,0.69584,1.99911,1.30994,1.94063,0.000272224,0.000272224,0.000272224
70,1097.46,1.82825,1.06821,1.84346,0.86493,0.86914,0.93633,0.69261,1.99475,1.23389,1.94294,0.000263978,0.000263978,0.000263978
71,1113.43,1.8249,1.07639,1.83939,0.89869,0.85171,0.93688,0.69091,2.00816,1.27298,1.95851,0.000255731,0.000255731,0.000255731
72,1129.26,1.83463,1.04419,1.86147,0.87005,0.88902,0.94091,0.68727,1.95479,1.28465,1.93627,0.000247484,0.000247484,0.000247484
73,1145.33,1.81336,1.01943,1.83991,0.90019,0.84593,0.92269,0.66873,2.00761,1.36895,1.9471,0.000239238,0.000239238,0.000239238
74,1160.95,1.77588,1.02617,1.842,0.8141,0.87419,0.9154,0.68113,1.97946,1.2844,1.95375,0.000230991,0.000230991,0.000230991
75,1176.96,1.7719,1.05455,1.84411,0.88391,0.85888,0.93775,0.68913,1.99525,1.1953,1.94372,0.000222744,0.000222744,0.000222744
76,1192.67,1.76786,1.02586,1.84481,0.92162,0.8661,0.94343,0.69169,2.00957,1.30004,1.94702,0.000214497,0.000214497,0.000214497
77,1208.41,1.79974,1.01621,1.84717,0.90483,0.88357,0.94225,0.69441,1.99316,1.30034,1.95602,0.000206251,0.000206251,0.000206251
78,1224.34,1.76103,1.006,1.8361,0.89362,0.82916,0.93508,0.68498,1.9836,1.30558,1.94396,0.000198004,0.000198004,0.000198004
79,1240.46,1.77431,1.00009,1.83332,0.84894,0.90645,0.9545,0.70974,1.97195,1.17641,1.93805,0.000189757,0.000189757,0.000189757
80,1256.53,1.74669,1.00575,1.83669,0.91197,0.87888,0.96297,0.69827,2.01757,1.25155,1.94849,0.000181511,0.000181511,0.000181511
81,1272.39,1.75278,0.98263,1.82344,0.87736,0.84876,0.96184,0.70786,1.96788,1.21518,1.93541,0.000173264,0.000173264,0.000173264
82,1288.29,1.72353,0.96808,1.8215,0.89139,0.82962,0.95797,0.70762,1.98966,1.20081,1.9513,0.000165017,0.000165017,0.000165017
